chrom	length	bases	mean	min	max
scaffold_1231_region	0	0	0.00	0	0
scaffold_1232	17916	57	0.00	0	3
scaffold_1232_region	8343	57	0.01	0	3
scaffold_1233	17890	13658325	763.46	4	1080
scaffold_1233_region	1735	1329974	766.56	429	919
scaffold_1234	17839	290236	16.27	0	57
scaffold_1234_region	0	0	0.00	0	0
scaffold_1235	17684	528748	29.90	1	128
scaffold_1235_region	2363	40937	17.32	1	34
scaffold_1236	17661	456533	25.85	0	99
scaffold_1236_region	0	0	0.00	0	0
scaffold_1237	17659	376980	21.35	0	96
scaffold_1237_region	2875	48621	16.91	4	38
scaffold_1238	17629	520018	29.50	1	96
scaffold_1238_region	0	0	0.00	0	0
scaffold_1239	17594	645329	36.68	0	155
scaffold_1239_region	0	0	0.00	0	0
scaffold_1240	17537	1037573	59.16	0	624
scaffold_1240_region	0	0	0.00	0	0
scaffold_1241	17525	575403	32.83	0	76
